Date,Home Team,Score,Away Team
31-08-2025,,Liverpool,1 - 0
23-08-2025,,Arsenal,5 - 0
17-08-2025,,Man United,0 - 1
31-08-2025,,Aston Villa,0 - 3
23-08-2025,,Brentford,1 - 0
16-08-2025,,Aston Villa,0 - 0
30-08-2025,,Tottenham,0 - 1
23-08-2025,,Bournemouth,1 - 0
15-08-2025,,Liverpool,4 - 2
30-08-2025,,Sunderland,2 - 1
23-08-2025,,Brentford,1 - 0
17-08-2025,,Nott'm Forest,3 - 1
31-08-2025,,Brighton,2 - 1
24-08-2025,,Everton,2 - 0
16-08-2025,,Brighton,1 - 1
30-08-2025,,Man United,3 - 2
23-08-2025,,Burnley,2 - 0
16-08-2025,,Tottenham,3 - 0
30-08-2025,,Chelsea,2 - 0
22-08-2025,,West Ham,1 - 5
17-08-2025,,Chelsea,0 - 0
31-08-2025,,Aston Villa,0 - 3
24-08-2025,,Crystal Palace,1 - 1
17-08-2025,,Chelsea,0 - 0
30-08-2025,,Wolves,2 - 3
24-08-2025,,Everton,2 - 0
18-08-2025,,Leeds,1 - 0
30-08-2025,,Chelsea,2 - 0
24-08-2025,,Fulham,1 - 1
16-08-2025,,Brighton,1 - 1
30-08-2025,,Leeds,0 - 0
23-08-2025,,Arsenal,5 - 0
18-08-2025,,Leeds,1 - 0
31-08-2025,,Liverpool,1 - 0
25-08-2025,,Newcastle,2 - 3
15-08-2025,,Liverpool,4 - 2
31-08-2025,,Brighton,2 - 1
23-08-2025,,Man City,0 - 2
16-08-2025,,Wolves,0 - 4
30-08-2025,,Man United,3 - 2
24-08-2025,,Fulham,1 - 1
17-08-2025,,Man United,0 - 1
30-08-2025,,Leeds,0 - 0
25-08-2025,,Newcastle,2 - 3
16-08-2025,,Aston Villa,0 - 0
31-08-2025,,Nott'm Forest,0 - 3
24-08-2025,,Crystal Palace,1 - 1
17-08-2025,,Nott'm Forest,3 - 1
30-08-2025,,Sunderland,2 - 1
23-08-2025,,Burnley,2 - 0
16-08-2025,,Sunderland,3 - 0
30-08-2025,,Tottenham,0 - 1
23-08-2025,,Man City,0 - 2
16-08-2025,,Tottenham,3 - 0
31-08-2025,,Nott'm Forest,0 - 3
22-08-2025,,West Ham,1 - 5
16-08-2025,,Sunderland,3 - 0
30-08-2025,,Wolves,2 - 3
23-08-2025,,Bournemouth,1 - 0
16-08-2025,,Wolves,0 - 4
